A股代码,证券简称,上市日期,总股本,流通股
603296,华勤技术,20230808,1015754600,571430900
603297,永新光学,20180910,110936700,110729100
603298,杭叉集团,20161227,1309812000,1309812000
603299,苏盐井神,20151231,781658200,777247500
603300,海南华铁,20150529,1996257900,1996257900
603301,振德医疗,20180412,266451200,266451200
603303,得邦照明,20170330,476944600,476944600
603305,旭升集团,20170710,953317300,953317300
603306,华懋科技,20140926,329060500,329060500
603307,扬州金泉,20230216,67877000,17000000
603308,应流股份,20140122,679036400,679036400
603309,维力医疗,20150302,292868000,291871400
603310,巍华新材,20240814,345340000,184560000
603311,金海高科,20150518,235883900,235883900
603312,西典新能,20240111,161600000,52520000
603313,梦百合,20161013,570586900,570586900
603315,福鞍股份,20150424,320426300,313726300
603316,诚邦股份,20170619,264264000,264264000
603317,天味食品,20190416,1064996300,1064996300
603318,水发燃气,20150424,459070899,383544600
603319,美湖股份,20161130,339149700,339149700
603320,迪贝电气,20170502,149146200,149146200
603321,梅轮电梯,20170915,349049500,302515000
603322,超讯通信,20160728,157586800,157586800
603323,苏农银行,20161129,2018541400,2018541400
603324,盛剑科技,20210407,149074100,149074100
603325,博隆技术,20240110,80004000,34183200
603326,我乐家居,20170616,319176900,319176900
603327,福蓉科技,20190523,997493000,997493000
603328,依顿电子,20140701,998442600,998442600
603329,上海雅仕,20171229,206383100,206383100
603330,天洋新材,20170213,432673600,432673600
603331,百达精工,20170705,202175600,202175600
603332,苏州龙杰,20190117,216347200,216347200
603333,尚纬股份,20120507,621527600,621527600
603335,迪生力,20170620,428144600,428144600
603336,宏辉果蔬,20161124,570409900,570409900
603337,杰克股份,20170119,476427300,471039300
603338,浙江鼎力,20150325,506347900,506347900
603339,四方科技,20160519,309441200,309441200
603341,龙旗科技,20240301,469381500,266212800
603344,星德胜,20240320,194531000,54031000
603345,安井食品,20170222,293294200,293294200
603348,文灿股份,20180426,314477200,314477200
603350,安乃达,20240703,116415000,44000000
603351,威尔药业,20190130,135439100,135439100
603353,和顺石油,20200407,171906000,170418000
603355,莱克电气,20150513,573481900,571139400
603356,华菱精工,20180124,133340000,133340000
603357,设计总院,20170801,560577900,555603000
603358,华达科技,20170125,469743100,439040000
603359,东珠生态,20170901,446096000,446096000
603360,百傲化学,20170206,706223700,706223700
603363,傲农生物,20170926,2602961800,1597961800
603365,水星家纺,20171120,262633500,259802300
603366,日出东方,20120521,813048100,813048100
603367,辰欣药业,20170929,452754100,452754100
603368,柳药集团,20141204,397168900,397168900
603369,今世缘,20140703,1246800000,1246800000
603373,安邦护卫,20231220,107526900,45430100
603375,盛景微,20240124,100666700,63780900
603377,ST东时,20160205,714873100,714873100
603378,亚士创能,20170928,428596600,428596600
603379,三美股份,20190402,610479000,610479000
603380,易德龙,20170622,160441200,160441200
603381,永臻股份,20240626,237256300,142137700
603382,海阳科技,20250612,181251400,35520900
603383,顶点软件,20170522,205387000,204498000
603385,惠达卫浴,20170405,380665000,380665000
603386,骏亚科技,20170912,326322600,326322600
603387,基蛋生物,20170717,507153500,507153500
603388,*ST元成,20170324,325733600,325733600
603389,*ST亚振,20161215,262752000,262752000
603390,通达电气,20191125,351652000,349755300
603391,力聚热能,20240731,91000000,22750000
603392,万泰生物,20200429,1265122800,1265122800
603393,新天然气,20160912,423921300,423221300
603395,红四方,20241126,260000000,53596500
603396,金辰股份,20171018,138527500,138527500
603398,*ST沐邦,20151209,433641500,433641500
603399,永杉锂业,20120824,512290600,512290600
603400,华之杰,20250620,100000000,19597600
603406,天富龙,20250808,400010000,35539900
603408,建霖家居,20200730,447573000,447573000
603409,汇通控股,20250304,126030000,30875900
603416,信捷电气,20161221,157138600,139505000
603421,鼎信通讯,20161011,652190500,652190500
603429,集友股份,20170124,524485500,524485500
603439,贵州三力,20200428,409802200,403840199
603444,吉比特,20170104,72041100,72041100
603456,九洲药业,20141010,889446000,889446000
603458,勘设股份,20170809,306124500,306124500
603466,风语筑,20171020,594785900,594785900
603477,巨星农牧,20171218,510070300,510070300
603486,科沃斯,20180528,574806300,569202000
603488,展鹏科技,20170516,291990400,291990400
603489,八方股份,20191111,234618000,234618000
603496,恒为科技,20170607,320209200,320209200
603499,翔港科技,20171016,302594400,302594400
603500,祥和实业,20170904,332800000,331833500
603501,豪威集团,20170504,1206010600,1206010600
603505,金石资源,20170503,841668800,841668800
603506,南都物业,20180201,187777800,187777800
